transport_id,module,objects_changed,lines_changed,conflicts,history_failures,transport_stage,change_request_status,risk_level
TR01045,SD,3,12,0,3,Development,Approved,HIGH
TR01046,SD,5,50,2,3,Quality,Rejected,HIGH
TR01047,FI,1,62,1,3,Development,Rejected,HIGH
TR01048,MM,5,60,1,1,Quality,Pending,MEDIUM
TR01049,MM,3,127,2,4,Development,Pending,HIGH
TR01050,HR,6,227,2,3,Production,Approved,HIGH
TR01051,MM,5,117,1,1,Production,Approved,MEDIUM
TR01052,SD,1,187,1,2,Production,Approved,MEDIUM
TR01053,HR,2,60,2,3,Development,Rejected,HIGH
TR01054,HR,6,33,0,0,Development,Pending,LOW
TR01055,HR,2,104,2,3,Quality,Approved,HIGH
TR01056,SD,2,189,0,3,Production,Rejected,HIGH
TR01057,MM,6,35,0,3,Production,Rejected,HIGH
TR01058,HR,5,142,2,0,Development,Pending,HIGH
TR01059,FI,5,127,0,3,Production,Rejected,HIGH
TR01060,MM,5,169,0,0,Development,Rejected,MEDIUM
TR01061,HR,6,175,0,1,Quality,Rejected,MEDIUM
TR01062,HR,6,291,0,4,Quality,Pending,HIGH
TR01063,FI,1,74,0,2,Development,Rejected,LOW
TR01064,SD,6,100,1,1,Development,Rejected,MEDIUM
TR01065,FI,3,175,0,3,Development,Rejected,HIGH
TR01066,MM,5,30,1,1,Production,Rejected,MEDIUM
TR01067,FI,5,131,0,4,Production,Approved,HIGH
TR01068,FI,6,95,1,1,Production,Rejected,MEDIUM
TR01069,MM,2,206,1,2,Production,Pending,MEDIUM
TR01070,FI,4,18,1,1,Production,Approved,MEDIUM
TR01071,MM,2,269,0,1,Production,Pending,MEDIUM
TR01072,FI,4,147,0,3,Quality,Pending,HIGH
TR01073,MM,5,280,0,3,Quality,Rejected,HIGH
TR01074,MM,3,59,2,1,Quality,Rejected,HIGH
TR01075,SD,2,71,1,3,Quality,Rejected,HIGH
TR01076,MM,3,174,0,2,Quality,Approved,MEDIUM
TR01077,HR,3,222,0,0,Quality,Rejected,MEDIUM
TR01078,HR,2,66,0,2,Production,Approved,LOW
TR01079,MM,6,200,2,4,Development,Pending,HIGH
TR01080,FI,4,141,0,1,Development,Approved,HIGH
TR01081,HR,2,224,1,0,Quality,Rejected,MEDIUM
TR01082,MM,5,130,2,0,Development,Approved,HIGH
TR01083,MM,6,104,0,4,Production,Pending,HIGH
TR01084,HR,6,232,1,2,Production,Approved,MEDIUM
TR01085,SD,2,104,1,1,Production,Approved,MEDIUM
TR01086,MM,5,29,0,3,Quality,Pending,HIGH
TR01087,FI,1,209,0,0,Production,Pending,HIGH
TR01088,SD,2,274,2,4,Development,Rejected,HIGH
TR01089,HR,2,258,1,1,Production,Approved,MEDIUM
TR01090,SD,3,220,0,4,Development,Rejected,HIGH
TR01091,FI,6,282,1,3,Production,Rejected,HIGH
TR01092,HR,2,93,1,1,Quality,Approved,MEDIUM
TR01093,FI,5,242,1,3,Development,Approved,HIGH
TR01094,SD,6,70,1,2,Development,Pending,MEDIUM
TR01095,HR,6,236,0,0,Development,Rejected,MEDIUM
TR01096,SD,5,297,1,0,Production,Pending,MEDIUM
TR01097,HR,1,300,1,1,Quality,Pending,MEDIUM
TR01098,FI,4,257,0,1,Development,Approved,HIGH
TR01099,SD,4,160,0,3,Production,Pending,HIGH
TR01100,MM,5,126,1,3,Quality,Rejected,HIGH
TR01101,FI,2,269,2,1,Development,Pending,HIGH
TR01102,HR,3,169,2,3,Production,Pending,HIGH
TR01103,HR,5,45,0,1,Development,Rejected,LOW
TR01104,FI,4,115,0,3,Development,Rejected,HIGH
TR01105,SD,2,282,1,0,Quality,Rejected,MEDIUM
TR01106,SD,2,262,0,2,Production,Rejected,MEDIUM
TR01107,HR,2,54,1,2,Development,Approved,MEDIUM
TR01108,HR,5,53,2,0,Quality,Pending,HIGH
TR01109,MM,6,289,2,0,Quality,Pending,HIGH
TR01110,SD,5,114,2,0,Quality,Rejected,HIGH
TR01111,HR,2,197,2,1,Production,Pending,HIGH
TR01112,FI,6,213,1,3,Development,Approved,HIGH
TR01113,FI,2,198,1,4,Development,Pending,HIGH
TR01114,HR,6,192,1,4,Development,Pending,HIGH
TR01115,MM,1,58,0,4,Development,Approved,HIGH
TR01116,MM,4,92,1,0,Production,Approved,MEDIUM
TR01117,HR,6,57,0,2,Quality,Approved,LOW
TR01118,SD,1,236,0,2,Production,Pending,MEDIUM
TR01119,FI,2,245,0,2,Quality,Rejected,HIGH
TR01120,MM,2,271,1,4,Production,Pending,HIGH
TR01121,HR,2,42,2,1,Development,Rejected,HIGH
TR01122,HR,5,243,1,2,Production,Pending,MEDIUM
TR01123,FI,6,130,2,4,Development,Rejected,HIGH
TR01124,FI,5,40,2,2,Production,Approved,HIGH
TR01125,MM,1,200,0,0,Development,Rejected,MEDIUM
TR01126,HR,1,278,0,0,Development,Pending,MEDIUM
TR01127,HR,6,13,1,2,Development,Rejected,MEDIUM
TR01128,FI,2,129,0,0,Development,Rejected,HIGH
TR01129,FI,3,93,0,1,Production,Rejected,MEDIUM
TR01130,MM,3,116,0,0,Quality,Rejected,MEDIUM
TR01131,FI,3,27,2,1,Development,Approved,HIGH
TR01132,HR,5,64,2,1,Development,Rejected,HIGH
TR01133,MM,3,201,2,4,Development,Rejected,HIGH
TR01134,FI,5,165,1,3,Development,Pending,HIGH
TR01135,MM,5,275,1,4,Quality,Rejected,HIGH
TR01136,HR,1,245,2,2,Production,Approved,HIGH
TR01137,HR,2,85,0,4,Development,Rejected,HIGH
TR01138,SD,3,89,0,2,Production,Approved,MEDIUM
TR01139,MM,5,298,2,1,Quality,Rejected,HIGH
TR01140,HR,5,139,0,0,Development,Pending,MEDIUM
TR01141,FI,3,282,1,4,Production,Rejected,HIGH
TR01142,FI,1,263,2,1,Development,Pending,HIGH
TR01143,HR,3,74,1,0,Quality,Approved,MEDIUM
TR01144,FI,1,129,2,3,Development,Approved,HIGH
TR01145,MM,6,86,0,2,Production,Rejected,MEDIUM
TR01146,HR,3,42,1,4,Production,Approved,HIGH
TR01147,MM,6,14,1,3,Production,Rejected,HIGH
TR01148,FI,5,76,2,3,Production,Rejected,HIGH
TR01149,HR,3,177,1,0,Quality,Pending,MEDIUM
TR01150,SD,5,93,1,2,Production,Pending,MEDIUM
TR01151,SD,6,51,0,4,Quality,Rejected,HIGH
TR01152,SD,6,192,1,2,Production,Rejected,MEDIUM
TR01153,HR,5,64,0,0,Development,Pending,LOW
TR01154,FI,3,164,2,2,Production,Approved,HIGH
TR01155,HR,4,207,1,1,Quality,Approved,MEDIUM
TR01156,MM,4,197,0,3,Quality,Pending,HIGH
TR01157,FI,4,269,1,1,Quality,Pending,HIGH
TR01158,HR,3,61,2,1,Production,Pending,HIGH
TR01159,HR,6,71,1,0,Production,Rejected,MEDIUM
TR01160,HR,5,35,1,0,Development,Pending,MEDIUM
TR01161,HR,3,75,1,0,Production,Pending,MEDIUM
TR01162,HR,5,165,2,0,Quality,Rejected,HIGH
TR01163,FI,5,34,0,0,Development,Approved,LOW
TR01164,SD,5,58,0,2,Quality,Approved,LOW
TR01165,SD,4,252,0,2,Production,Pending,MEDIUM
TR01166,SD,2,230,0,2,Production,Approved,MEDIUM
TR01167,FI,1,47,1,0,Development,Rejected,MEDIUM
TR01168,SD,1,279,2,4,Production,Approved,HIGH
TR01169,SD,4,135,0,4,Development,Pending,HIGH
TR01170,SD,2,235,2,3,Production,Approved,HIGH
TR01171,HR,1,288,0,1,Quality,Approved,MEDIUM
TR01172,HR,2,278,0,0,Development,Pending,MEDIUM
TR01173,SD,1,243,2,2,Production,Rejected,HIGH
TR01174,SD,2,17,2,1,Development,Pending,HIGH
TR01175,FI,3,226,2,3,Development,Approved,HIGH
TR01176,SD,1,83,1,1,Development,Rejected,MEDIUM
TR01177,HR,3,18,2,2,Development,Pending,HIGH
TR01178,HR,2,189,2,3,Quality,Pending,HIGH
TR01179,SD,4,91,1,4,Development,Rejected,HIGH
TR01180,HR,6,231,1,1,Quality,Approved,MEDIUM
TR01181,FI,1,115,2,3,Production,Rejected,HIGH
TR01182,MM,2,204,1,1,Production,Pending,MEDIUM
TR01183,SD,5,27,1,3,Quality,Pending,HIGH
TR01184,FI,4,144,1,3,Quality,Approved,HIGH
TR01185,FI,5,132,2,4,Production,Pending,HIGH
TR01186,SD,1,101,0,2,Development,Approved,MEDIUM
TR01187,MM,2,45,1,0,Development,Rejected,MEDIUM
TR01188,MM,5,76,2,0,Quality,Approved,HIGH
TR01189,HR,2,234,2,3,Production,Rejected,HIGH
TR01190,MM,4,60,2,2,Development,Pending,HIGH
TR01191,FI,6,114,0,0,Production,Approved,MEDIUM
TR01192,HR,4,20,0,2,Production,Approved,LOW
TR01193,FI,1,166,2,3,Production,Approved,HIGH
TR01194,MM,4,200,0,1,Development,Rejected,MEDIUM
TR01195,FI,2,209,1,1,Production,Rejected,HIGH
TR01196,HR,3,231,2,0,Development,Approved,HIGH
TR01197,FI,2,234,2,4,Development,Rejected,HIGH
TR01198,HR,4,27,1,4,Production,Pending,HIGH
TR01199,MM,4,191,2,1,Quality,Rejected,HIGH
TR01200,FI,5,141,0,1,Production,Rejected,HIGH
TR01201,MM,2,86,0,3,Development,Pending,HIGH
TR01202,MM,4,178,1,4,Quality,Approved,HIGH
TR01203,HR,5,142,1,1,Production,Pending,MEDIUM
TR01204,SD,2,158,2,2,Development,Approved,HIGH
TR01205,SD,5,198,0,3,Production,Pending,HIGH
TR01206,FI,1,277,1,3,Quality,Approved,HIGH
TR01207,SD,6,81,2,0,Production,Approved,HIGH
TR01208,SD,6,15,0,2,Production,Rejected,LOW
TR01209,SD,5,297,0,1,Production,Rejected,MEDIUM
TR01210,MM,3,197,1,1,Quality,Approved,MEDIUM
TR01211,MM,4,241,2,0,Quality,Pending,HIGH
TR01212,FI,6,214,1,3,Production,Pending,HIGH
TR01213,FI,4,40,0,3,Development,Rejected,HIGH
TR01214,FI,3,226,2,2,Production,Approved,HIGH
TR01215,MM,2,90,2,2,Quality,Approved,HIGH
TR01216,MM,1,53,0,0,Production,Pending,LOW
TR01217,SD,2,231,1,3,Development,Approved,HIGH
TR01218,HR,2,231,2,3,Development,Rejected,HIGH
TR01219,HR,3,163,0,1,Production,Approved,MEDIUM
TR01220,FI,4,258,0,1,Quality,Pending,HIGH
TR01221,FI,2,51,2,0,Quality,Approved,HIGH
TR01222,FI,4,28,0,3,Quality,Pending,HIGH
TR01223,MM,4,266,0,2,Development,Rejected,MEDIUM
TR01224,SD,6,92,1,4,Development,Pending,HIGH
TR01225,FI,4,194,0,1,Development,Approved,HIGH
TR01226,MM,6,200,1,4,Production,Rejected,HIGH
TR01227,MM,5,82,2,4,Production,Approved,HIGH
TR01228,SD,1,69,2,1,Production,Pending,HIGH
TR01229,FI,5,111,0,2,Production,Approved,MEDIUM
TR01230,FI,1,42,2,3,Quality,Rejected,HIGH
TR01231,SD,2,97,0,0,Development,Pending,MEDIUM
TR01232,HR,6,238,1,1,Development,Approved,MEDIUM
TR01233,SD,1,250,2,2,Development,Rejected,HIGH
TR01234,FI,1,253,1,4,Quality,Rejected,HIGH
TR01235,SD,5,224,1,0,Development,Pending,MEDIUM
TR01236,FI,1,199,1,1,Development,Pending,HIGH
TR01237,SD,5,28,0,0,Quality,Rejected,LOW
TR01238,MM,2,119,2,2,Quality,Pending,HIGH
TR01239,MM,1,247,1,1,Production,Pending,MEDIUM
TR01240,FI,1,249,2,3,Production,Approved,HIGH
TR01241,MM,1,122,0,2,Development,Rejected,MEDIUM
TR01242,SD,5,272,0,3,Development,Approved,HIGH
TR01243,SD,2,188,2,3,Production,Pending,HIGH
TR01244,HR,3,262,0,1,Production,Rejected,MEDIUM
TR01245,FI,2,40,0,0,Production,Rejected,LOW
TR01246,MM,1,48,2,2,Development,Rejected,HIGH
TR01247,SD,6,245,2,2,Production,Pending,HIGH
TR01248,MM,6,229,0,3,Quality,Approved,HIGH
TR01249,MM,3,160,0,1,Development,Rejected,MEDIUM
TR01250,FI,2,91,1,4,Quality,Pending,HIGH
TR01251,SD,5,203,1,0,Development,Rejected,MEDIUM
TR01252,FI,3,256,1,2,Quality,Approved,HIGH
TR01253,MM,3,61,1,3,Quality,Approved,HIGH
TR01254,HR,3,105,2,2,Development,Approved,HIGH
TR01255,HR,1,44,0,0,Quality,Pending,LOW
TR01256,MM,1,136,1,1,Quality,Pending,MEDIUM
TR01257,HR,2,213,2,3,Quality,Pending,HIGH
TR01258,MM,1,88,0,1,Quality,Pending,MEDIUM
TR01259,HR,5,239,1,2,Production,Rejected,MEDIUM
TR01260,SD,3,101,0,1,Production,Rejected,MEDIUM
TR01261,FI,5,288,2,1,Development,Approved,HIGH
TR01262,SD,1,20,1,3,Production,Approved,HIGH
TR01263,MM,6,154,2,4,Production,Pending,HIGH
TR01264,SD,6,112,0,3,Production,Rejected,HIGH
TR01265,FI,5,207,2,1,Production,Pending,HIGH
TR01266,FI,3,205,0,0,Quality,Approved,HIGH
TR01267,MM,5,299,1,0,Production,Pending,MEDIUM
TR01268,SD,1,276,1,2,Quality,Rejected,MEDIUM
TR01269,SD,4,65,0,1,Quality,Pending,LOW
TR01270,SD,1,46,2,3,Production,Rejected,HIGH
TR01271,MM,3,99,0,0,Production,Rejected,MEDIUM
TR01272,HR,2,33,0,0,Development,Approved,LOW
TR01273,SD,4,45,0,1,Production,Pending,LOW
TR01274,HR,1,203,2,4,Development,Pending,HIGH
TR01275,SD,6,171,1,4,Production,Rejected,HIGH
TR01276,FI,1,70,2,1,Quality,Rejected,HIGH
TR01277,SD,1,71,1,0,Production,Rejected,MEDIUM
TR01278,SD,2,78,1,1,Development,Pending,MEDIUM
TR01279,SD,2,231,2,2,Production,Pending,HIGH
TR01280,MM,4,217,2,4,Production,Pending,HIGH
TR01281,MM,5,277,0,1,Development,Rejected,MEDIUM
TR01282,FI,1,172,2,3,Production,Approved,HIGH
TR01283,FI,1,292,1,4,Development,Pending,HIGH
TR01284,FI,1,151,1,0,Production,Rejected,HIGH
TR01285,SD,3,249,2,4,Quality,Rejected,HIGH
TR01286,FI,5,266,1,4,Development,Approved,HIGH
TR01287,MM,3,27,2,2,Production,Pending,HIGH
TR01288,HR,3,209,2,2,Quality,Rejected,HIGH
TR01289,MM,4,246,2,4,Quality,Pending,HIGH
TR01290,FI,4,38,1,1,Development,Approved,MEDIUM
TR01291,HR,2,184,2,2,Quality,Approved,HIGH
TR01292,MM,2,137,1,3,Quality,Approved,HIGH
TR01293,HR,5,146,2,4,Quality,Rejected,HIGH
TR01294,HR,1,212,0,3,Production,Rejected,HIGH
TR01295,FI,5,270,1,3,Development,Pending,HIGH
TR01296,MM,4,179,2,1,Development,Pending,HIGH
TR01297,FI,1,88,1,2,Quality,Rejected,MEDIUM
TR01298,FI,6,146,1,2,Development,Pending,HIGH
TR01299,SD,6,280,1,0,Quality,Pending,MEDIUM
TR01300,HR,5,48,2,1,Development,Pending,HIGH
TR01301,SD,6,20,0,0,Development,Rejected,LOW
TR01302,HR,2,162,0,2,Quality,Pending,MEDIUM
TR01303,MM,5,49,0,4,Production,Rejected,HIGH
TR01304,HR,3,54,1,1,Development,Pending,MEDIUM
TR01305,HR,1,43,2,1,Development,Pending,HIGH
TR01306,HR,3,214,1,4,Development,Pending,HIGH
TR01307,FI,6,224,0,1,Development,Rejected,HIGH
TR01308,MM,5,85,2,2,Production,Pending,HIGH
TR01309,SD,6,138,2,1,Development,Rejected,HIGH
TR01310,FI,5,156,0,3,Quality,Rejected,HIGH
TR01311,MM,6,127,0,0,Development,Rejected,MEDIUM
TR01312,SD,4,82,1,0,Development,Rejected,MEDIUM
TR01313,SD,5,262,0,4,Development,Approved,HIGH
TR01314,FI,5,242,0,4,Development,Approved,HIGH
TR01315,SD,1,129,0,4,Quality,Pending,HIGH
TR01316,SD,3,132,2,3,Development,Pending,HIGH
TR01317,MM,5,45,1,0,Development,Pending,MEDIUM
TR01318,MM,6,164,1,3,Development,Rejected,HIGH
TR01319,SD,5,83,0,1,Quality,Pending,MEDIUM
TR01320,MM,2,258,1,3,Quality,Approved,HIGH
TR01321,MM,2,118,0,4,Development,Approved,HIGH
TR01322,MM,6,23,0,2,Quality,Approved,LOW
TR01323,MM,4,153,2,4,Quality,Pending,HIGH
TR01324,MM,1,68,1,1,Production,Rejected,MEDIUM
TR01325,MM,1,81,1,2,Development,Rejected,MEDIUM
TR01326,HR,6,145,0,2,Production,Rejected,MEDIUM
TR01327,HR,5,103,2,2,Quality,Pending,HIGH
TR01328,MM,4,259,2,1,Development,Rejected,HIGH
TR01329,SD,6,36,1,1,Production,Rejected,MEDIUM
TR01330,FI,5,113,0,4,Production,Rejected,HIGH
TR01331,MM,4,292,0,3,Production,Pending,HIGH
TR01332,MM,5,258,0,3,Quality,Pending,HIGH
TR01333,FI,2,88,0,4,Quality,Approved,HIGH
TR01334,HR,1,214,0,0,Quality,Approved,MEDIUM
TR01335,HR,6,236,1,0,Quality,Rejected,MEDIUM
TR01336,FI,3,10,2,0,Production,Approved,HIGH
TR01337,FI,4,76,0,0,Production,Pending,LOW
TR01338,HR,5,264,0,0,Production,Rejected,MEDIUM
TR01339,FI,6,77,2,2,Quality,Pending,HIGH
TR01340,SD,1,23,1,3,Quality,Pending,HIGH
TR01341,HR,2,75,2,0,Quality,Approved,HIGH
TR01342,MM,4,201,1,3,Quality,Approved,HIGH
TR01343,MM,1,231,1,2,Production,Approved,MEDIUM
TR01344,MM,1,257,1,4,Quality,Pending,HIGH
TR01345,FI,6,264,2,1,Production,Rejected,HIGH
TR01346,SD,6,166,0,1,Production,Approved,MEDIUM
TR01347,FI,2,218,2,2,Development,Rejected,HIGH
TR01348,FI,6,151,2,4,Development,Rejected,HIGH
TR01349,FI,6,43,2,1,Production,Rejected,HIGH
TR01350,MM,1,93,2,0,Development,Approved,HIGH
TR01351,FI,2,232,1,2,Quality,Approved,HIGH
TR01352,FI,6,158,0,2,Quality,Approved,HIGH
TR01353,FI,1,21,2,4,Production,Rejected,HIGH
TR01354,MM,4,141,0,1,Quality,Approved,MEDIUM
TR01355,SD,6,120,1,3,Quality,Approved,HIGH
TR01356,SD,2,196,2,2,Quality,Approved,HIGH
TR01357,FI,6,179,0,1,Development,Pending,HIGH
TR01358,SD,3,79,0,0,Development,Rejected,LOW
TR01359,HR,1,52,0,3,Quality,Approved,HIGH
TR01360,MM,4,48,1,4,Quality,Rejected,HIGH
TR01361,HR,3,92,1,3,Development,Approved,HIGH
TR01362,MM,5,98,2,1,Quality,Approved,HIGH
TR01363,SD,3,111,0,0,Production,Rejected,MEDIUM
TR01364,FI,1,87,1,2,Production,Approved,MEDIUM
TR01365,FI,5,150,1,2,Development,Approved,HIGH
TR01366,HR,2,161,1,1,Production,Approved,MEDIUM
TR01367,HR,6,101,2,4,Quality,Approved,HIGH
TR01368,SD,3,187,1,3,Production,Approved,HIGH
TR01369,SD,1,266,1,4,Production,Rejected,HIGH
TR01370,MM,4,163,1,4,Production,Rejected,HIGH
TR01371,HR,1,108,0,3,Production,Pending,HIGH
TR01372,SD,2,220,1,1,Development,Rejected,MEDIUM
TR01373,MM,2,81,1,1,Quality,Rejected,MEDIUM
TR01374,SD,3,229,0,2,Quality,Approved,MEDIUM
TR01375,SD,1,45,1,2,Production,Pending,MEDIUM
TR01376,MM,2,244,0,0,Quality,Rejected,MEDIUM
TR01377,SD,3,207,0,0,Development,Pending,MEDIUM
TR01378,HR,4,257,1,3,Production,Rejected,HIGH
TR01379,SD,3,178,1,2,Quality,Pending,MEDIUM
TR01380,SD,5,65,0,0,Quality,Approved,LOW
TR01381,FI,2,16,2,1,Quality,Pending,HIGH
TR01382,SD,2,166,1,2,Quality,Pending,MEDIUM
TR01383,FI,3,252,0,4,Quality,Rejected,HIGH
TR01384,MM,4,298,0,2,Quality,Approved,MEDIUM
TR01385,HR,6,15,2,3,Development,Approved,HIGH
TR01386,SD,6,68,2,1,Quality,Rejected,HIGH
TR01387,FI,2,230,0,4,Quality,Pending,HIGH
TR01388,SD,3,246,1,0,Quality,Approved,MEDIUM
TR01389,FI,6,171,1,2,Production,Pending,HIGH
TR01390,MM,4,13,1,0,Development,Approved,MEDIUM
TR01391,HR,3,208,2,1,Production,Rejected,HIGH
TR01392,FI,2,215,0,3,Production,Pending,HIGH
TR01393,MM,2,22,0,3,Production,Approved,HIGH
TR01394,HR,4,262,2,1,Production,Pending,HIGH
TR01395,FI,5,248,0,4,Development,Pending,HIGH
TR01396,FI,5,283,2,3,Development,Rejected,HIGH
TR01397,HR,5,253,2,3,Production,Pending,HIGH
TR01398,MM,1,56,0,1,Production,Approved,LOW
TR01399,SD,2,285,0,4,Quality,Approved,HIGH
TR01400,FI,1,223,1,4,Quality,Pending,HIGH
TR01401,HR,1,243,1,1,Production,Pending,MEDIUM
TR01402,MM,2,271,2,4,Quality,Pending,HIGH
TR01403,SD,3,292,1,2,Quality,Rejected,MEDIUM
TR01404,MM,6,213,2,3,Development,Pending,HIGH
TR01405,MM,5,47,1,3,Quality,Pending,HIGH
TR01406,FI,2,219,2,0,Quality,Approved,HIGH
TR01407,MM,2,294,0,4,Production,Rejected,HIGH
TR01408,HR,3,104,2,4,Development,Rejected,HIGH
TR01409,HR,3,180,0,0,Quality,Pending,MEDIUM
TR01410,HR,2,136,1,1,Development,Rejected,MEDIUM
TR01411,MM,2,218,0,3,Development,Pending,HIGH
TR01412,FI,6,273,2,2,Quality,Rejected,HIGH
TR01413,HR,1,190,0,2,Quality,Pending,MEDIUM
TR01414,FI,6,65,0,2,Development,Pending,LOW
TR01415,FI,6,188,1,0,Development,Approved,HIGH
TR01416,SD,3,258,0,1,Production,Pending,MEDIUM
TR01417,MM,5,43,1,0,Production,Rejected,MEDIUM
TR01418,MM,3,33,2,3,Production,Rejected,HIGH
TR01419,MM,6,263,2,1,Production,Pending,HIGH
TR01420,HR,6,37,1,2,Quality,Approved,MEDIUM
TR01421,SD,6,61,0,4,Production,Approved,HIGH
TR01422,FI,5,183,1,1,Production,Approved,HIGH
TR01423,HR,2,111,0,4,Quality,Pending,HIGH
TR01424,MM,1,59,0,2,Production,Rejected,LOW
TR01425,HR,2,115,1,1,Production,Rejected,MEDIUM
TR01426,MM,6,267,1,3,Development,Approved,HIGH
TR01427,FI,5,230,0,0,Development,Pending,HIGH
TR01428,SD,4,202,0,3,Development,Rejected,HIGH
TR01429,HR,2,49,1,2,Production,Approved,MEDIUM
TR01430,FI,4,236,2,3,Development,Pending,HIGH
TR01431,FI,1,230,1,4,Quality,Approved,HIGH
TR01432,FI,3,180,0,0,Development,Approved,HIGH
TR01433,HR,1,168,0,4,Development,Rejected,HIGH
TR01434,MM,2,244,1,3,Quality,Rejected,HIGH
TR01435,SD,5,153,0,1,Quality,Rejected,MEDIUM
TR01436,HR,5,137,0,3,Development,Approved,HIGH
TR01437,MM,2,162,2,4,Quality,Pending,HIGH
TR01438,FI,6,55,1,4,Quality,Rejected,HIGH
TR01439,HR,2,210,0,4,Quality,Approved,HIGH
TR01440,SD,5,143,0,0,Development,Rejected,MEDIUM
TR01441,MM,2,276,0,4,Development,Pending,HIGH
TR01442,FI,4,167,0,3,Quality,Pending,HIGH
TR01443,MM,6,232,1,4,Development,Pending,HIGH
TR01444,HR,3,80,1,4,Production,Pending,HIGH
TR01445,SD,5,126,0,4,Development,Pending,HIGH
TR01446,MM,5,219,2,4,Quality,Pending,HIGH
TR01447,FI,4,242,2,0,Production,Pending,HIGH
TR01448,SD,3,19,2,3,Quality,Pending,HIGH
TR01449,HR,5,79,2,2,Production,Pending,HIGH
TR01450,HR,6,122,0,0,Production,Approved,MEDIUM
TR01451,SD,2,174,1,2,Quality,Pending,MEDIUM
TR01452,MM,4,122,2,1,Quality,Approved,HIGH
TR01453,FI,5,237,1,2,Quality,Rejected,HIGH
TR01454,FI,2,276,1,0,Development,Approved,HIGH
TR01455,MM,2,208,0,3,Production,Approved,HIGH
TR01456,HR,4,29,0,1,Quality,Pending,LOW
TR01457,FI,2,215,0,0,Production,Rejected,HIGH
TR01458,SD,6,37,2,0,Quality,Approved,HIGH
TR01459,SD,5,99,2,2,Development,Rejected,HIGH
TR01460,SD,6,267,1,4,Production,Pending,HIGH
TR01461,FI,6,73,2,3,Development,Pending,HIGH
TR01462,FI,4,177,0,4,Quality,Rejected,HIGH
TR01463,MM,4,282,2,0,Development,Rejected,HIGH
TR01464,HR,4,25,0,1,Production,Rejected,LOW
TR01465,FI,4,63,2,3,Quality,Pending,HIGH
TR01466,HR,5,290,1,2,Quality,Pending,MEDIUM
TR01467,MM,4,265,1,1,Quality,Approved,MEDIUM
TR01468,FI,1,28,0,2,Quality,Pending,LOW
TR01469,HR,6,100,0,0,Quality,Pending,MEDIUM
TR01470,MM,5,139,1,3,Development,Rejected,HIGH
TR01471,FI,4,264,1,2,Quality,Rejected,HIGH
TR01472,FI,3,117,0,4,Development,Pending,HIGH
TR01473,SD,4,200,2,1,Development,Pending,HIGH
TR01474,FI,5,278,2,2,Development,Rejected,HIGH
TR01475,SD,6,151,2,0,Development,Rejected,HIGH
TR01476,FI,3,138,2,0,Quality,Approved,HIGH
TR01477,MM,3,26,1,3,Production,Pending,HIGH
TR01478,HR,4,256,1,2,Development,Approved,MEDIUM
TR01479,MM,1,109,0,2,Quality,Rejected,MEDIUM
TR01480,HR,3,218,0,0,Quality,Pending,MEDIUM
TR01481,HR,1,45,2,3,Quality,Pending,HIGH
TR01482,FI,4,242,1,4,Production,Pending,HIGH
TR01483,SD,6,219,0,2,Production,Approved,MEDIUM
TR01484,FI,1,29,1,2,Quality,Rejected,MEDIUM
TR01485,FI,5,82,0,2,Development,Rejected,MEDIUM
TR01486,MM,5,237,2,0,Production,Rejected,HIGH
TR01487,MM,2,271,1,0,Quality,Pending,MEDIUM
TR01488,HR,3,106,1,0,Development,Pending,MEDIUM
TR01489,SD,6,103,1,4,Quality,Approved,HIGH
TR01490,SD,3,73,1,2,Development,Pending,MEDIUM
TR01491,FI,3,147,1,3,Production,Approved,HIGH
TR01492,FI,3,283,2,1,Quality,Approved,HIGH
TR01493,HR,1,183,2,0,Development,Pending,HIGH
TR01494,FI,1,108,0,4,Development,Approved,HIGH
TR01495,MM,2,210,0,1,Quality,Approved,MEDIUM
TR01496,HR,3,26,0,4,Development,Approved,HIGH
TR01497,FI,5,126,1,0,Production,Rejected,HIGH
TR01498,MM,2,96,0,2,Quality,Rejected,MEDIUM
TR01499,HR,3,200,2,0,Development,Approved,HIGH
TR01500,SD,6,155,2,0,Production,Pending,HIGH
TR01501,HR,5,209,1,1,Development,Rejected,MEDIUM
TR01502,FI,6,145,2,4,Production,Rejected,HIGH
TR01503,FI,5,41,1,2,Production,Pending,MEDIUM
TR01504,HR,2,217,2,4,Production,Rejected,HIGH
TR01505,HR,2,225,1,4,Development,Rejected,HIGH
TR01506,SD,1,145,0,3,Quality,Rejected,HIGH
TR01507,FI,2,269,2,4,Quality,Pending,HIGH
TR01508,SD,5,154,0,2,Production,Rejected,MEDIUM
TR01509,HR,5,101,2,3,Production,Approved,HIGH
TR01510,SD,3,296,0,0,Production,Pending,MEDIUM
TR01511,SD,6,218,0,2,Development,Rejected,MEDIUM
TR01512,HR,3,55,1,1,Quality,Pending,MEDIUM
TR01513,FI,2,40,0,1,Quality,Approved,LOW
TR01514,HR,1,285,2,0,Development,Rejected,HIGH
TR01515,FI,1,294,1,4,Quality,Approved,HIGH
TR01516,SD,1,168,0,0,Quality,Rejected,MEDIUM
TR01517,SD,5,167,2,4,Production,Pending,HIGH
TR01518,FI,6,235,0,0,Quality,Rejected,HIGH
TR01519,HR,2,62,1,2,Quality,Approved,MEDIUM
TR01520,FI,1,94,1,0,Development,Rejected,MEDIUM
